typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20220101","2022","52","2022","842","USA","USA","M","Import","0","W00","World","0","W00","World","H6","HS","true","870899","Vehicle parts and accessories; n.e.c. in heading no. 8708","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1339762375.113","true","-1","N/A","0","false","1339762375.113","true","0","false","17333801758","16693511593","17333801758","6","false","true",
"C","A","20230101","2023","52","2023","97","EUR","European Union","M","Import","0","W00","World","0","W00","World","H6","HS","true","870899","Vehicle parts and accessories; n.e.c. in heading no. 8708","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","608625435.561","true","-1","N/A","0","false","608625435.561","true","0","false","4981021363.669",,"4981021363.669","6","false","true",
"C","A","20230101","2023","52","2023","251","FRA","France","M","Import","0","W00","World","0","W00","World","H6","HS","true","870899","Vehicle parts and accessories; n.e.c. in heading no. 8708","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"false","0","false","8778214981.769",,"8778214981.769","0","false","true",
"C","A","20230101","2023","52","2023","276","DEU","Germany","M","Import","0","W00","World","0","W00","World","H6","HS","true","870899","Vehicle parts and accessories; n.e.c. in heading no. 8708","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","920587159.232","true","-1","N/A","0","false","920587159.232","true","0","false","7945649602.184",,"7945649602.184","6","false","true",
"C","A","20230101","2023","52","2023","376","ISR","Israel","M","Import","0","W00","World","0","W00","World","H6","HS","true","870899","Vehicle parts and accessories; n.e.c. in heading no. 8708","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","5726469.984","true","-1","N/A","0","false","5726469.984","true","0","false","90173000",,"90173000","6","false","true",
"C","A","20230101","2023","52","2023","752","SWE","Sweden","M","Import","0","W00","World","0","W00","World","H6","HS","true","870899","Vehicle parts and accessories; n.e.c. in heading no. 8708","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","256869497.163","true","-1","N/A","0","false","256869497.163","true","0","false","2054190925.932",,"2054190925.932","6","false","true",
"C","A","20230101","2023","52","2023","826","GBR","United Kingdom","M","Import","0","W00","World","0","W00","World","H6","HS","true","870899","Vehicle parts and accessories; n.e.c. in heading no. 8708","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","228291461.172","true","-1","N/A","0","false","228291461.172","true","0","false","2471929507.903",,"2471929507.903","6","false","true",
"C","A","20230101","2023","52","2023","842","USA","USA","M","Import","0","W00","World","0","W00","World","H6","HS","true","870899","Vehicle parts and accessories; n.e.c. in heading no. 8708","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1212662551.071","true","-1","N/A","0","false","1212662551.071","true","0","false","16972850584","16547245797","16972850584","6","false","true",
"C","A","20240101","2024","52","2024","97","EUR","European Union","M","Import","0","W00","World","0","W00","World","H6","HS","true","870899","Vehicle parts and accessories; n.e.c. in heading no. 8708","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","572999052.773","true","-1","N/A","0","false","572999052.773","true","0","false","4728128553.401",,"4728128553.401","6","false","true",
"C","A","20240101","2024","52","2024","251","FRA","France","M","Import","0","W00","World","0","W00","World","H6","HS","true","870899","Vehicle parts and accessories; n.e.c. in heading no. 8708","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1416335461.483","true","-1","N/A","0","false","1416335461.483","true","0","false","6909397068.319",,"6909397068.319","6","false","true",
"C","A","20240101","2024","52","2024","276","DEU","Germany","M","Import","0","W00","World","0","W00","World","H6","HS","true","870899","Vehicle parts and accessories; n.e.c. in heading no. 8708","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","785934405.828","true","-1","N/A","0","false","785934405.828","true","0","false","7295966928.737",,"7295966928.737","6","false","true",
"C","A","20240101","2024","52","2024","376","ISR","Israel","M","Import","0","W00","World","0","W00","World","H6","HS","true","870899","Vehicle parts and accessories; n.e.c. in heading no. 8708","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","5295904.684","true","-1","N/A","0","false","5295904.684","true","0","false","91016000",,"91016000","6","false","true",
"C","A","20240101","2024","52","2024","752","SWE","Sweden","M","Import","0","W00","World","0","W00","World","H6","HS","true","870899","Vehicle parts and accessories; n.e.c. in heading no. 8708","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","233795977.04","true","-1","N/A","0","false","233795977.04","true","0","false","1972515242.486",,"1972515242.486","6","false","true",
"C","A","20240101","2024","52","2024","826","GBR","United Kingdom","M","Import","0","W00","World","0","W00","World","H6","HS","true","870899","Vehicle parts and accessories; n.e.c. in heading no. 8708","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","185512047.446","true","-1","N/A","0","false","185512047.446","true","0","false","2239445862.147",,"2239445862.147","6","false","true",
"C","A","20240101","2024","52","2024","842","USA","USA","M","Import","0","W00","World","0","W00","World","H6","HS","true","870899","Vehicle parts and accessories; n.e.c. in heading no. 8708","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1136031440.243","true","-1","N/A","0","false","1136031440.243","true","0","false","17433113632","17025439982","17433113632","6","false","true",
"C","A","20250101","2025","52","2025","97","EUR","European Union","M","Import","0","W00","World","0","W00","World","H6","HS","true","870899","Vehicle parts and accessories; n.e.c. in heading no. 8708","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","595327680.544","true","-1","N/A","0","false","595327680.544","true","0","false","5061768464.568",,"5061768464.568","6","false","true",
"C","A","20250101","2025","52","2025","826","GBR","United Kingdom","M","Import","0","W00","World","0","W00","World","H6","HS","true","870899","Vehicle parts and accessories; n.e.c. in heading no. 8708","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","168686673.855","true","-1","N/A","0","false","168686673.855","true","0","false","2178862107.336",,"2178862107.336","6","false","true",
"C","A","20250101","2025","52","2025","842","USA","USA","M","Import","0","W00","World","0","W00","World","H6","HS","true","870899","Vehicle parts and accessories; n.e.c. in heading no. 8708","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1011860530.944","true","-1","N/A","0","false","1011860530.944","true","0","false","16261556046","15848064881","16261556046","6","false","true",
